id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
26754233,八佰,,https://dou.img.lithub.cc/movie/26754233.jpg,2020-08-21(中国大陆),https://movie.douban.com/subject/26754233/,7.5,"剧情,历史,战争",4,"「《八佰》只有爱国主义，它区分了爱国主义与民族主义的边界，它对同胞只有恻隐之心，没有苛责与恨意，它没有丑化河对岸的同胞（租界大众），没有埋怨犯过错的同胞（方记者），更没有惩罚出于生存本能、因而不愿与之共患难的同胞（老算盘），它明白一切不同都来自境遇。

朴素爱国主义是，我爱我的国家，国家有难，四百人扛不住，需要四万万人一起扛，你不愿意扛，我先自己上；极端民族主义是，爱国也有指导手册，你只要不像我这样，你就是汉奸、x狗、递刀党，我不弄别人先弄你。二者的区别，就是前者没有攻击性与排他性。」——远川研究所","抗战,历史,战争,人性,淞沪会战",2020-08-23 12:16:25,2020 / 中国大陆 / 剧情 历史 战争 / 管虎 / 王千源 张译
35088569,未知电影,,https://dou.img.lithub.cc/movie/35088569.jpg,,https://movie.douban.com/subject/35088569/,0,,5,,"日本,热血,动画",2020-08-08 22:27:41,
26636712,蚁人2：黄蜂女现身,,https://dou.img.lithub.cc/movie/26636712.jpg,2018-08-24(中国大陆),https://movie.douban.com/subject/26636712/,7.2,"动作,科幻,冒险",4,,,2020-07-27 12:58:36,2018 / 美国 / 动作 科幻 冒险 / 佩顿·里德 / 保罗·路德 伊万杰琳·莉莉
25821634,雷神3：诸神黄昏,,https://dou.img.lithub.cc/movie/25821634.jpg,2017-11-03(中国大陆),https://movie.douban.com/subject/25821634/,7.4,"动作,奇幻,冒险",5,,,2020-07-27 12:58:16,2017 / 美国 / 动作 奇幻 冒险 / 塔伊加·维迪提 / 克里斯·海姆斯沃斯 汤姆·希德勒斯顿
3025375,奇异博士,,https://dou.img.lithub.cc/movie/3025375.jpg,2016-11-04(中国大陆),https://movie.douban.com/subject/3025375/,7.6,"动作,奇幻,冒险",4,,,2020-07-27 12:58:01,2016 / 美国 / 动作 奇幻 冒险 / 斯科特·德瑞克森 / 本尼迪克特·康伯巴奇 蒂尔达·斯文顿
1788287,阳炎,,https://dou.img.lithub.cc/movie/1788287.jpg,1991-02-09(日本),https://movie.douban.com/subject/1788287/,7.1,"剧情,动作",4,,"日本,樋口可南子",2020-07-25 12:29:33,1991 / 日本 / 剧情 动作 / 五社英雄 / 樋口可南子 仲代达矢
25937854,银河护卫队2,,https://dou.img.lithub.cc/movie/25937854.jpg,2017-05-05(中国大陆),https://movie.douban.com/subject/25937854/,8,"动作,科幻,冒险",4,,,2020-07-21 01:03:31,2017 / 美国 / 动作 科幻 冒险 / 詹姆斯·古恩 / 克里斯·帕拉特 佐伊·索尔达娜
10741834,复仇者联盟2：奥创纪元,,https://dou.img.lithub.cc/movie/10741834.jpg,2015-05-12(中国大陆),https://movie.douban.com/subject/10741834/,7.5,"动作,科幻,奇幻",4,,"超级英雄,漫画改编,Marvel,复仇者联盟",2020-07-21 00:58:32,2015 / 美国 / 动作 科幻 奇幻 冒险 / 乔斯·韦登 / 小罗伯特·唐尼 克里斯·海姆斯沃斯
27060077,绿皮书,,https://dou.img.lithub.cc/movie/27060077.jpg,2019-03-01(中国大陆),https://movie.douban.com/subject/27060077/,8.9,"剧情,喜剧,音乐",5,,"剧情,黑人平权,温情,美国,公路",2020-07-16 23:57:23,2018 / 美国 中国大陆 / 剧情 喜剧 音乐 传记 / 彼得·法雷里 / 维果·莫腾森 马赫沙拉·阿里
34617196,梨泰院Class,,https://dou.img.lithub.cc/movie/34617196.jpg,2020-01-31(韩国),https://movie.douban.com/subject/34617196/,7.2,剧情,5,,,2020-07-16 23:55:51,2020 / 韩国 / 剧情 / 金善允 / 朴叙俊 金多美
30468961,想见你,,https://dou.img.lithub.cc/movie/30468961.jpg,2019-11-17(中国台湾),https://movie.douban.com/subject/30468961/,9.2,"爱情,悬疑,奇幻",4,,,2020-07-16 23:55:42,2019 / 中国台湾 / 爱情 悬疑 奇幻 / 黄天仁 / 柯佳嬿 许光汉
7065154,银河护卫队,,https://dou.img.lithub.cc/movie/7065154.jpg,2014-10-10(中国大陆),https://movie.douban.com/subject/7065154/,8.1,"动作,科幻,冒险",4,,,2020-07-16 23:48:36,2014 / 美国 / 动作 科幻 冒险 / 詹姆斯·古恩 / 克里斯·帕拉特 佐伊·索尔达娜
6560058,雷神2：黑暗世界,,https://dou.img.lithub.cc/movie/6560058.jpg,2013-11-08(中国大陆),https://movie.douban.com/subject/6560058/,7.4,"动作,奇幻,冒险",4,,,2020-07-16 23:48:23,2013 / 美国 / 动作 奇幻 冒险 / 阿兰·泰勒 / 克里斯·海姆斯沃斯 娜塔莉·波特曼
1866479,复仇者联盟,,https://dou.img.lithub.cc/movie/1866479.jpg,2012-05-05(中国大陆),https://movie.douban.com/subject/1866479/,8.3,"动作,科幻,奇幻",4,,,2020-07-16 23:48:10,2012 / 美国 / 动作 科幻 奇幻 冒险 / 乔斯·韦登 / 小罗伯特·唐尼 克里斯·埃文斯
